股票代码,行业代码
1,801780
2,801180
4,801150
5,801160
6,801180
7,801230
8,801890
9,801230
10,801720
11,801180
12,801710
14,801180
16,801110
17,801880
18,801720
19,801120
20,801080
21,801750
22,801170
23,801710
25,801880
26,801140
27,801160
28,801150
29,801180
30,801880
31,801180
32,801770
34,801750
35,801160
36,801180
37,801160
38,801760
39,801890
40,801160
42,801180
43,801180
45,801080
46,801180
48,801010
49,801080
50,801080
55,801720
56,801180
58,801200
59,801030
60,801050
61,801200
62,801080
63,801770
65,801720
66,801750
68,801160
69,801180
70,801770
78,801150
88,801170
89,801170
90,801180
96,801030
99,801170
100,801110
150,801150
151,801200
153,801150
155,801200
156,801760
157,801890
158,801750
159,801030
166,801790
301,801160
333,801110
338,801880
400,801730
401,801710
402,801180
403,801150
404,801110
407,801160
408,801030
409,801230
410,801890
411,801150
413,801080
415,801790
416,801790
417,801200
418,801110
419,801200
420,801030
421,801160
422,801030
423,801150
425,801890
426,801050
428,801210
429,801170
430,801210
488,801140
498,801720
501,801200
502,801180
503,801150
504,801760
505,801010
506,801180
507,801170
509,801710
510,801030
513,801150
514,801180
516,801200
517,801180
518,801150
519,801740
520,801170
521,801110
523,801030
524,801210
525,801030
526,801760
528,801890
529,801230
530,801890
531,801160
532,801080
533,801110
534,801180
536,801080
537,801180
538,801150
539,801160
540,801180
541,801080
543,801160
544,801160
545,801030
546,801710
547,801740
548,801170
550,801880
551,801890
552,801020
553,801030
554,801030
555,801750
557,801170
558,801180
559,801880
560,801200
561,801770
563,801790
564,801200
565,801030
566,801150
567,801790
568,801120
570,801890
571,801020
572,801880
573,801180
576,801010
581,801880
582,801170
584,801890
585,801730
586,801770
587,801140
589,801030
590,801150
591,801730
592,801010
593,801160
595,801890
596,801120
597,801150
598,801160
599,801030
600,801160
601,801160
603,801050
605,801160
606,801750
607,801760
608,801180
609,801180
610,801210
611,801130
612,801050
613,801210
615,801180
616,801180
617,801790
619,801710
620,801180
622,801880
623,801150
625,801880
626,801200
627,801790
628,801720
630,801050
631,801180
632,801230
633,801050
635,801030
636,801080
637,801030
638,801230
639,801010
650,801150
651,801110
652,801230
655,801020
656,801180
657,801050
659,801140
661,801150
662,801750
663,801140
665,801760
666,801790
667,801180
668,801180
669,801160
670,801080
671,801180
672,801710
673,801760
676,801760
677,801030
678,801880
679,801180
680,801890
681,801760
682,801730
683,801030
685,801160
686,801790
687,801770
688,801050
690,801160
691,801180
692,801160
693,801050
695,801160
697,801050
698,801030
700,801880
701,801080
702,801010
703,801030
705,801150
707,801030
708,801040
709,801040
710,801150
711,801160
712,801790
713,801010
715,801200
716,801120
717,801040
718,801180
719,801760
720,801160
721,801210
722,801160
723,801020
725,801080
726,801130
727,801080
728,801790
729,801120
731,801030
732,801180
733,801080
735,801010
736,801180
737,801030
738,801740
739,801150
750,801790
751,801050
752,801120
753,801880
755,801030
756,801150
757,801880
758,801050
759,801200
760,801880
761,801040
762,801020
766,801150
767,801160
768,801740
776,801790
777,801890
778,801040
779,801130
780,801020
782,801030
783,801790
785,801200
786,801710
788,801150
789,801710
790,801150
791,801160
792,801030
793,801760
795,801050
796,801210
797,801180
798,801010
799,801120
800,801880
801,801110
802,801760
803,801180
806,801730
807,801050
809,801180
810,801110
811,801890
812,801140
813,801150
815,801140
816,801890
818,801030
819,801030
820,801160
821,801890
822,801030
823,801080
825,801040
826,801160
828,801170
829,801200
830,801030
831,801050
833,801230
835,801760
836,801770
837,801890
838,801180
839,801230
848,801120
850,801130
851,801770
852,801890
856,801890
858,801120
859,801030
860,801120
861,801200
862,801160
863,801210
868,801880
869,801120
875,801160
876,801010
877,801710
878,801050
880,801890
881,801230
882,801200
883,801160
885,801710
886,801170
887,801880
888,801210
889,801770
890,801890
892,801760
893,801010
895,801120
897,801180
898,801040
899,801160
900,801170
901,801890
902,801030
903,801880
905,801170
906,801200
908,801150
909,801180
910,801140
911,801010
912,801030
913,801880
915,801150
917,801760
918,801180
919,801150
920,801160
921,801110
922,801730
923,801890
925,801890
926,801180
927,801880
928,801720
929,801120
930,801010
931,801230
932,801040
933,801050
935,801710
936,801030
937,801020
938,801750
939,801160
948,801750
949,801030
951,801880
952,801150
953,801030
955,801130
957,801880
958,801160
959,801040
960,801050
961,801180
962,801050
963,801150
965,801180
966,801160
967,801160
968,801020
969,801050
970,801050
971,801770
972,801010
973,801030
975,801050
976,801890
977,801750
978,801210
979,801180
980,801880
981,801180
982,801130
983,801020
985,801030
987,801790
988,801080
989,801150
990,801030
991,801080
993,801160
995,801120
996,801880
997,801750
998,801010
999,801150
1696,801880
1896,801160
1965,801170
1979,801180
2001,801150
2002,801030
2003,801130
2004,801030
2005,801080
2006,801890
2007,801150
2008,801080
2009,801890
2010,801170
2011,801110
2012,801140
2013,801740
2014,801140
2015,801030
2016,801180
2017,801770
2018,801230
2019,801150
2020,801150
2021,801890
2022,801150
2023,801740
2024,801200
2025,801080
2026,801890
2027,801760
2028,801730
2029,801130
2030,801150
2031,801890
2032,801110
2033,801210
2034,801130
2035,801110
2036,801080
2037,801030
2038,801150
2039,801160
2040,801170
2041,801010
2042,801130
2043,801710
2044,801150
2045,801080
2046,801890
2047,801720
2048,801880
2049,801080
2050,801110
2051,801720
2052,801110
2053,801030
2054,801030
2055,801080
2056,801080
2057,801050
2058,801730
2059,801210
2060,801720
2061,801720
2062,801720
2063,801750
2064,801030
2065,801750
2066,801710
2067,801140
2068,801030
2069,801010
2071,801760
2072,801750
2073,801890
2074,801730
2075,801040
2076,801080
2077,801080
2078,801140
2079,801080
2080,801030
2081,801720
2082,801710
2083,801130
2084,801140
2085,801880
2086,801010
2087,801130
2088,801710
2089,801770
2090,801730
2091,801200
2092,801030
2093,801770
2094,801030
2095,801760
2096,801030
2097,801890
2098,801130
2099,801150
2100,801010
2101,801880
2102,801150
2103,801760
2104,801770
2105,801880
2106,801080
2107,801150
2108,801030
2109,801030
2110,801040
2111,801890
2112,801730
2113,801760
2114,801050
2115,801770
2116,801720
2117,801140
2118,801150
2119,801080
2120,801170
2121,801730
2122,801890
2123,801760
2124,801010
2125,801030
2126,801880
2127,801200
2128,801020
2129,801730
2130,801050
2131,801760
2132,801890
2133,801180
2134,801080
2135,801720
2136,801030
2137,801760
2138,801080
2139,801080
2140,801720
2141,801080
2142,801780
2143,801760
2144,801130
2145,801030
2146,801180
2147,801180
2148,801760
2149,801050
2150,801890
2151,801740
2152,801750
2153,801750
2154,801130
2155,801050
2156,801080
2157,801010
2158,801890
2159,801210
2160,801050
2161,801080
2162,801710
2163,801710
2164,801890
2165,801030
2166,801150
2167,801050
2168,801730
2169,801730
2170,801030
2171,801050
2172,801030
2173,801150
2174,801760
2175,801760
2176,801730
2177,801750
2178,801720
2179,801080
2180,801080
2181,801760
2182,801050
2183,801170
2184,801730
2185,801080
2186,801210
2187,801200
2188,801760
2189,801080
2190,801740
2191,801140
2192,801890
2193,801130
2194,801770
2195,801750
2196,801730
2197,801750
2198,801150
2199,801080
2200,801720
2201,801030
2202,801730
2203,801050
2204,801890
2205,801710
2206,801030
2207,801020
2208,801180
2209,801890
2210,801170
2211,801030
2212,801730
2213,801880
2214,801080
2215,801030
2216,801120
2217,801080
2218,801730
2219,801150
2220,801010
2221,801030
2222,801080
2223,801150
2224,801030
2225,801710
2226,801030
2227,801730
2228,801140
2229,801140
2230,801750
2231,801770
2232,801750
2233,801710
2234,801010
2235,801140
2236,801080
2237,801050
2238,801760
2239,801880
2240,801140
2241,801080
2242,801110
2243,801140
2244,801180
2245,801170
2246,801030
2247,801760
2248,801890
2249,801730
2250,801030
2251,801200
2252,801150
2253,801750
2254,801030
2255,801730
2256,801030
2257,801080
2258,801030
2259,801160
2260,801110
2261,801760
2262,801150
2263,801030
2264,801200
2265,801880
2266,801730
2267,801160
2268,801750
2269,801130
2270,801730
2271,801710
2272,801890
2273,801080
2274,801030
2275,801150
2276,801730
2277,801200
2278,801890
2279,801750
2280,801750
2281,801770
2282,801890
2283,801880
2284,801880
2285,801180
2286,801010
2287,801150
2288,801080
2289,801080
2290,801110
2291,801130
2292,801760
2293,801130
2294,801150
2295,801050
2296,801750
2297,801740
2298,801730
2299,801010
2300,801730
2301,801140
2302,801710
2303,801140
2304,801120
2305,801180
2306,801210
2307,801720
2308,801750
2309,801730
2310,801720
2311,801010
2312,801750
2313,801770
2314,801180
2315,801760
2316,801770
2317,801150
2318,801040
2319,801030
2320,801170
2321,801010
2322,801730
2323,801710
2324,801030
2325,801720
2326,801030
2327,801130
2328,801880
2329,801120
2330,801120
2331,801750
2332,801150
2333,801710
2334,801730
2335,801730
2336,801200
2337,801890
2338,801890
2339,801730
2340,801050
2341,801160
2342,801890
2343,801760
2344,801200
2345,801140
2346,801710
2347,801890
2348,801140
2349,801150
2350,801730
2351,801080
2352,801170
2353,801890
2354,801760
2355,801880
2356,801140
2357,801170
2358,801730
2359,801770
2360,801030
2361,801030
2362,801750
2363,801880
2364,801730
2365,801150
2366,801890
2367,801890
2368,801750
2369,801080
2370,801150
2371,801080
2372,801710
2373,801750
2374,801720
2375,801720
2376,801750
2377,801210
2378,801050
2379,801050
2380,801750
2381,801030
2382,801030
2383,801750
2384,801080
2385,801010
2386,801030
2387,801750
2388,801080
2389,801080
2390,801150
2391,801030
2392,801710
2393,801150
2394,801130
2395,801030
2396,801770
2397,801130
2398,801710
2399,801150
2400,801760
2401,801750
2402,801080
2403,801110
2404,801130
2405,801750
2406,801880
2407,801030
2408,801030
2409,801030
2410,801750
2411,801150
2412,801150
2413,801740
2414,801080
2415,801080
2416,801200
2417,801770
2418,801110
2419,801200
2420,801110
2421,801750
2422,801150
2423,801890
2424,801150
2425,801760
2426,801890
2427,801030
2428,801050
2429,801110
2430,801890
2431,801720
2432,801150
2433,801150
2434,801880
2435,801150
2436,801080
2437,801150
2438,801890
2439,801750
2440,801030
2441,801730
2442,801030
2443,801040
2444,801890
2445,801760
2446,801770
2447,801760
2448,801880
2449,801080
2450,801030
2451,801730
2452,801730
2453,801030
2454,801880
2455,801030
2456,801080
2457,801710
2458,801010
2459,801890
2460,801050
2461,801120
2462,801150
2463,801080
2464,801760
2465,801770
2466,801050
2467,801770
2468,801170
2469,801720
2470,801030
2471,801730
2472,801880
2473,801110
2474,801750
2475,801080
2476,801030
2477,801010
2478,801040
2479,801160
2480,801890
2481,801120
2482,801720
2483,801890
2484,801080
2485,801130
2486,801130
2487,801890
2488,801880
2489,801140
2490,801890
2491,801770
2492,801170
2493,801030
2494,801130
2495,801120
2496,801030
2497,801030
2498,801730
2499,801890
2500,801790
2501,801050
2502,801760
2503,801130
2504,801720
2505,801010
2506,801730
2507,801120
2508,801110
2509,801890
2510,801880
2511,801140
2512,801750
2513,801030
2514,801890
2515,801120
2516,801130
2517,801760
2518,801730
2519,801110
2520,801890
2521,801140
2522,801140
2523,801890
2524,801160
2525,801120
2526,801890
2527,801730
2528,801750
2529,801890
2530,801750
2531,801730
2532,801890
2533,801730
2534,801730
2535,801890
2536,801880
2537,801890
2538,801030
2539,801030
2540,801050
2541,801720
2542,801720
2543,801110
2544,801770
2545,801720
2546,801730
2547,801080
2548,801010
2549,801030
2550,801150
2551,801150
2552,801890
2553,801880
2554,801020
2555,801760
2556,801030
2557,801120
2558,801760
2559,801890
2560,801730
2561,801200
2562,801030
2563,801130
2564,801890
2565,801140
2566,801150
2567,801010
2568,801120
2569,801130
2570,801120
2571,801140
2572,801140
2573,801160
2574,801140
2575,801140
2576,801730
2577,801750
2578,801050
2579,801080
2580,801730
2581,801150
2582,801120
2583,801770
2584,801030
2585,801140
2586,801720
2587,801080
2588,801030
2589,801150
2590,801880
2591,801760
2592,801880
2593,801880
2594,801880
2595,801890
2596,801710
2597,801030
2598,801890
2599,801140
2600,801080
2601,801030
2602,801760
2603,801150
2604,801010
2605,801140
2606,801730
2607,801880
2608,801160
2609,801750
2610,801730
2611,801880
2612,801130
2613,801890
2614,801110
2615,801140
2616,801110
